clean_company;assignee_org;grant_doc_num;invention_title;appl_date;grant_date;time_elapsed;main_class;main_class_title;num_refs;assignee_state;assignee_country;num_applicants;claims
saucony;['Saucony, Inc.'];D0651787;Articles of footwear;2010-04-30 00:00:00;2012-01-10 00:00:00;620 days 00:00:00.000000000;D 2908;Apparel and haberdashery;9;['MA'];['US'];1;  The ornamental design for articles of footwear, as shown and described.   
skechers usa;['Skechers U.S.A., Inc. II'];D0651788;Shoe bottom;2011-07-11 00:00:00;2012-01-10 00:00:00;183 days 00:00:00.000000000;D 2954;Apparel and haberdashery;66;['CA'];['US'];1;  The ornamental design for a shoe bottom, as shown and described.   
skechers usa;['SKECHERS U.S.A., Inc. II'];D0651789;Shoe upper;2011-07-11 00:00:00;2012-01-10 00:00:00;183 days 00:00:00.000000000;D 2969;Apparel and haberdashery;29;['CA'];['US'];1;  The ornamental design for a shoe upper, as shown and described.   
edward a enterprises;['Edward A. Enterprises, LLC'];D0651790;Tampon and pad pouch;2010-08-09 00:00:00;2012-01-10 00:00:00;519 days 00:00:00.000000000;D 32035;Travel goods and personal belongings;40;['OH'];['US'];1;  The ornamental design for a combined tampon and pad pouch, as shown.   
head logic;['Head Logic, LLC'];D0651791;Case for holding ear buds;2011-07-11 00:00:00;2012-01-10 00:00:00;183 days 00:00:00.000000000;D 3218;Travel goods and personal belongings;13;['CA'];['US'];3;  The ornamental design for the case for holding ear buds, as shown and described.   
daymen canada acquistion;['DayMen Canada Acquistion ULC'];D0651794;Shoulder bag;2010-09-20 00:00:00;2012-01-10 00:00:00;477 days 00:00:00.000000000;D 3232;Travel goods and personal belongings;2;['None'];['CA'];2;  The ornamental design for a shoulder bag, as shown and described.   
dac technologies group international;['DAC Technologies Group International, Inc.'];D0651795;Gun cleaning kit enclosure;2010-11-29 00:00:00;2012-01-10 00:00:00;407 days 00:00:00.000000000;D 3262;Travel goods and personal belongings;29;['AR'];['US'];1;  The ornamental design for a gun cleaning kit enclosure, as shown and described.   
falcon plastics;['Falcon Plastics, Inc.'];D0651802;Stackable tray for holding cartridges;2011-06-14 00:00:00;2012-01-10 00:00:00;210 days 00:00:00.000000000;D 3313;Travel goods and personal belongings;19;['SD'];['US'];2;  The ornamental design for the stackable tray for holding cartridges, as shown and described.   
meridian international;['Meridian International Co., Ltd.'];D0651804;Toolbox;2011-02-16 00:00:00;2012-01-10 00:00:00;328 days 00:00:00.000000000;D 3318;Travel goods and personal belongings;7;['None'];['CN'];2;  I claim the ornamental design for a toolbox, as shown and described.   
hayco manufacturing;['Hayco Manufacturing Limited'];D0651805;Electric toothbrush;2009-01-28 00:00:00;2012-01-10 00:00:00;1077 days 00:00:00.000000000;D 4101;Brushware;10;['None'];['HK'];2;  The ornamental design for an “electric toothbrush”, as shown and described.   
colgate-palmolive;['Colgate-Palmolive Company'];D0651806;Toothbrush;2011-06-17 00:00:00;2012-01-10 00:00:00;207 days 00:00:00.000000000;D 4104;Brushware;22;['NY'];['US'];3;  The ornamental design for a toothbrush, as shown and described.   
colgate-palmolive;['Colgate-Palmolive Company'];D0651807;Toothbrush;2011-06-17 00:00:00;2012-01-10 00:00:00;207 days 00:00:00.000000000;D 4108;Brushware;22;['NY'];['US'];3;  The ornamental design for a toothbrush, as shown and described.   
mizaru enterprises;['Mizaru Enterprises, LLC'];D0651808;Combination toothbrush, floss dispenser and tongue scraper;2011-07-01 00:00:00;2012-01-10 00:00:00;193 days 00:00:00.000000000;D 4108;Brushware;13;['LA'];['US'];3;  The ornamental design for a combination toothbrush, floss dispenser, and tongue scraper, as shown and described.   
dsm ip assets;['DSM IP Assets B.V.'];D0651809;Film sheet for use in antiballistic articles;2010-08-12 00:00:00;2012-01-10 00:00:00;516 days 00:00:00.000000000;D 5 58;"Textile or paper yard goods; sheet material";35;['None'];['NL'];2;  The ornamental design for a “film sheet for use in antiballistic articles,” as shown and described.   
samsung electronics;['Samsung Electronics Co., Ltd.'];D0651812;Digital photo frame;2010-02-03 00:00:00;2012-01-10 00:00:00;706 days 00:00:00.000000000;D 6300;Furnishings;15;['None'];['KR'];2;  The ornamental design for a digital photo frame, as shown and described.   
procter & gamble;['The Procter & Gamble Company'];D0651813;Fabric hanger;2010-04-27 00:00:00;2012-01-10 00:00:00;623 days 00:00:00.000000000;D 6319;Furnishings;34;['OH'];['US'];7;  The ornamental design for a fabric hanger, as shown and described.   
pininfarina extra;['Pininfarina Extra S.r.l.'];D0651814;Support for percussion musical instruments;2009-04-13 00:00:00;2012-01-10 00:00:00;1002 days 00:00:00.000000000;D 6332;Furnishings;17;['None'];['IT'];1;  The ornamental design for a support for percussion musical instruments, as shown and described.   
f smit holding;['F. Smit Holding B.V.'];D0651815;Chair;2011-02-18 00:00:00;2012-01-10 00:00:00;326 days 00:00:00.000000000;D 6336;Furnishings;7;['None'];['NL'];1;  The ornamental design for a chair, as shown and described.   
nuna international;['Nuna International B.V.'];D0651817;Swing chair frame;2010-01-12 00:00:00;2012-01-10 00:00:00;728 days 00:00:00.000000000;D 6344;Furnishings;7;['None'];['NL'];2;  The ornamental design for swing chair frame, as shown and described.   
cvg managment;['CVG Managment Corporation'];D0651819;Vehicle seat;2010-03-22 00:00:00;2012-01-10 00:00:00;659 days 00:00:00.000000000;D 6356;Furnishings;7;['OH'];['US'];1;  I claim the ornamental design for a vehicle seat, as shown and described.   
dedon;['Dedon GmbH'];D0651822;Chair;2011-04-15 00:00:00;2012-01-10 00:00:00;270 days 00:00:00.000000000;D 6368;Furnishings;9;['None'];['DE'];1;  The ornamental design for a chair, as shown and described.   
dauphin entwicklungs-u beteiligungs-gmbh;['Dauphin Entwicklungs-u. Beteiligungs-GmbH'];D0651823;Chair;2011-03-16 00:00:00;2012-01-10 00:00:00;300 days 00:00:00.000000000;D 6372;Furnishings;26;['None'];['DE'];2;  The ornamental design for a chair, as shown and described.   
american greetings;['American Greetings Corporation'];D0651824;Roll wrap display;2011-03-21 00:00:00;2012-01-10 00:00:00;295 days 00:00:00.000000000;D 6396;Furnishings;9;['OH'];['US'];1;  The ornamental design for a roll wrap display, as shown and described.   
cheshire moulding & woodturnings;['Cheshire Moulding & Woodturnings Limited'];D0651827;Furniture support;2011-01-06 00:00:00;2012-01-10 00:00:00;369 days 00:00:00.000000000;D 6495;Furnishings;4;['None'];['GB'];1;  The ornamental design for a furniture support, as shown and described.   
sealy technology;['Sealy Technology LLC'];D0651828;Coil;2010-12-16 00:00:00;2012-01-10 00:00:00;390 days 00:00:00.000000000;D 6504;Furnishings;18;['NC'];['US'];8;  The ornamental designs for a coil, as shown and described.   
procter & gamble;['The Procter & Gamble Company'];D0651829;Counter desk;2010-06-21 00:00:00;2012-01-10 00:00:00;568 days 00:00:00.000000000;D 6509;Furnishings;32;['OH'];['US'];1;  The ornamental design for a counter desk, as shown and described.   
pro-mart industries;['Pro-Mart Industries, Inc.'];D0651830;Square carousel organizer with strapped shelves;2011-04-06 00:00:00;2012-01-10 00:00:00;279 days 00:00:00.000000000;D 6514;Furnishings;59;['CA'];['US'];1;  The ornamental design for a square carousel organizer with straped shelves, as shown and described.   
sca hygiene products;['SCA Hygiene Products AB'];D0651831;Tissue box;2010-09-10 00:00:00;2012-01-10 00:00:00;487 days 00:00:00.000000000;D 6518;Furnishings;9;['None'];['SE'];3;  The ornamental design for a tissue box, as shown and described.   
libman;['The Libman Company'];D0651832;Container;2011-02-28 00:00:00;2012-01-10 00:00:00;316 days 00:00:00.000000000;D 6524;Furnishings;15;['IL'];['US'];1;  The ornamental design for a container, as shown and described.   
libman;['The Libman Company'];D0651833;Container;2011-02-28 00:00:00;2012-01-10 00:00:00;316 days 00:00:00.000000000;D 6524;Furnishings;15;['IL'];['US'];1;  The ornamental design for a container, as shown and described.   
libman;['The Libman Company'];D0651834;Container;2011-02-28 00:00:00;2012-01-10 00:00:00;316 days 00:00:00.000000000;D 6524;Furnishings;15;['IL'];['US'];1;  The ornamental design for a container, as shown and described.   
libman;['The Libman Company'];D0651835;Container;2011-02-28 00:00:00;2012-01-10 00:00:00;316 days 00:00:00.000000000;D 6524;Furnishings;15;['IL'];['US'];1;  The ornamental design for a container, as shown and described.   
libman;['The Libman Company'];D0651836;Plunger caddy;2011-06-29 00:00:00;2012-01-10 00:00:00;195 days 00:00:00.000000000;D 6524;Furnishings;7;['IL'];['US'];3;  The ornamental design for a plunger caddy, as shown and described.   
simplehuman;['simplehuman, LLC'];D0651837;Shelving system;2010-03-12 00:00:00;2012-01-10 00:00:00;669 days 00:00:00.000000000;D 6525;Furnishings;234;['CA'];['US'];5;  The ornamental design for a shelving system, as shown and described.   
simplehuman;['simplehuman, LLC'];D0651838;Shelving system;2010-03-12 00:00:00;2012-01-10 00:00:00;669 days 00:00:00.000000000;D 6525;Furnishings;233;['CA'];['US'];5;  The ornamental design for a shelving system, as shown and described.   
mtn products;['MTN Products, Inc.'];D0651842;Water cooler;2010-08-02 00:00:00;2012-01-10 00:00:00;526 days 00:00:00.000000000;D 7306;Equipment for preparing or serving food or drink not elsewhere specified;26;['CA'];['US'];3;  The ornamental design for a water cooler, as shown and described.   
be aerospace;['BE Aerospace, Inc.'];D0651843;Beverage maker appliance;2010-11-05 00:00:00;2012-01-10 00:00:00;431 days 00:00:00.000000000;D 7307;Equipment for preparing or serving food or drink not elsewhere specified;9;['FL'];['US'];3;  The ornamental design for a beverage maker appliance, as shown and described.   
magellan group;['Magellan Group Ltd'];D0651844;Perforated cooking pan;2011-07-06 00:00:00;2012-01-10 00:00:00;188 days 00:00:00.000000000;D 7361;Equipment for preparing or serving food or drink not elsewhere specified;11;['WA'];['US'];3;  The ornamental design for a perforated cooking pan, as shown and described.   
sunbeam products;['Sunbeam Products, Inc.'];D0651845;Slow cooker;2010-12-30 00:00:00;2012-01-10 00:00:00;376 days 00:00:00.000000000;D 7364;Equipment for preparing or serving food or drink not elsewhere specified;13;['FL'];['US'];3;  The ornamental design for a slow cooker, as shown and described.   
breville;['Breville Pty Limited'];D0651846;Stick mixer;2010-08-18 00:00:00;2012-01-10 00:00:00;510 days 00:00:00.000000000;D 7380;Equipment for preparing or serving food or drink not elsewhere specified;13;['None'];['AU'];2;  The ornamental design for a stick mixer, as shown and described.   
pacific market international;['Pacific Market International, LLC'];D0651847;Beverage container closure;2010-05-27 00:00:00;2012-01-10 00:00:00;593 days 00:00:00.000000000;D 73921;Equipment for preparing or serving food or drink not elsewhere specified;20;['WA'];['US'];1;  The ornamental design for a beverage container closure, as shown and described.   
brookstone purchasing;['Brookstone Purchasing, Inc.'];D0651848;Base for an automatic food dispenser;2011-01-28 00:00:00;2012-01-10 00:00:00;347 days 00:00:00.000000000;D 74011;Equipment for preparing or serving food or drink not elsewhere specified;35;['NH'];['US'];3;  The ornamental design for a base for an automatic food dispenser, as shown and described.   
oneida;['Oneida, Ltd.'];D0651849;Flatware;2011-05-11 00:00:00;2012-01-10 00:00:00;244 days 00:00:00.000000000;D 74012;Equipment for preparing or serving food or drink not elsewhere specified;12;['NY'];['US'];1;  The ornamental design for flatware, as shown and described.   
ibc-hearthware;['IBC-Hearthware, Inc.'];D0651850;Cooking housing for a portable countertop electric oven;2010-03-12 00:00:00;2012-01-10 00:00:00;669 days 00:00:00.000000000;D 7402;Equipment for preparing or serving food or drink not elsewhere specified;19;['IL'];['US'];5;  We claim the ornamental design for a cooking housing for a portable countertop electric oven, as shown and described.   
ibc-hearthware;['IBC-Hearthware, Inc.'];D0651851;Grill;2011-03-31 00:00:00;2012-01-10 00:00:00;285 days 00:00:00.000000000;D 7409;Equipment for preparing or serving food or drink not elsewhere specified;40;['IL'];['US'];3;  We claim the ornamental design for a grill, as shown and described.   
pacific market international;['Pacific Market International, LLC'];D0651852;Beverage container;2010-05-26 00:00:00;2012-01-10 00:00:00;594 days 00:00:00.000000000;D 7510;Equipment for preparing or serving food or drink not elsewhere specified;22;['WA'];['US'];1;  The ornamental design for a beverage container, as shown and described.   
ets express;['ETS Express, Inc.'];D0651853;Beverage container;2011-05-06 00:00:00;2012-01-10 00:00:00;249 days 00:00:00.000000000;D 7510;Equipment for preparing or serving food or drink not elsewhere specified;13;['CA'];['US'];1;  The ornamental design for a beverage container, as shown and described.   
ignite usa;['Ignite USA, LLC'];D0651855;Mug;2010-11-24 00:00:00;2012-01-10 00:00:00;412 days 00:00:00.000000000;D 7536;Equipment for preparing or serving food or drink not elsewhere specified;65;['IL'];['US'];3;  We claim the ornamental design for a mug, as shown and described.   
spectrum diversified designs;['Spectrum Diversified Designs, Inc.'];D0651857;Condiment holder;2011-06-09 00:00:00;2012-01-10 00:00:00;215 days 00:00:00.000000000;D 7600;Equipment for preparing or serving food or drink not elsewhere specified;4;['OH'];['US'];2;  The ornamental design for a condiment holder, as shown and described.   
